,Municipality,Total,BE,NC,PAN,PCP-PEV,PPD/PSD.CDS-PP,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
0,Arcos de Valdevez,11461,523,99,69,298,6577,3264,631,PPD/PSD.CDS-PP,0.5738591745920949,21753,2292,12535,6927,0.1053647772721004,0.5762423573759942,0.3184388360226176,20268,5060,6972.0,1998.0,2801.0,2131.0,1306.0,0.249654627985001,0.34399052693901716,0.09857904085257549,0.13819814485889087,0.10514110913755674,0.06443655022695875,700.4,7,0.07,"(41.8458289, -8.419221300000002)",41.8458289,-8.4192213
1,Caminha,8716,765,68,95,514,3455,3372,447,PPD/PSD.CDS-PP,0.39639743001376776,16176,1872,10388,3917,0.11572700296735905,0.6421859545004945,0.242148862512364,14650,1641,4382.0,1813.0,2766.0,2418.0,1630.0,0.11201365187713311,0.29911262798634813,0.1237542662116041,0.18880546075085325,0.16505119453924916,0.11126279863481228,748.8,7,0.07,"(41.8772779, -8.8388267)",41.877277899999996,-8.838826699999998
2,Melgaço,3659,215,36,24,93,1672,1426,193,PPD/PSD.CDS-PP,0.4569554523093741,8614,755,4673,3186,0.087648014859531,0.5424889714418388,0.3698630136986301,8392,1892,3135.0,836.0,1047.0,964.0,518.0,0.22545281220209723,0.37357006673021925,0.0996186844613918,0.12476167778836987,0.11487130600571974,0.0617254528122021,673.9,4,0.04,"(42.1144544, -8.2579742)",42.1144544,-8.2579742
3,Monção,8989,634,83,46,230,4771,2768,457,PPD/PSD.CDS-PP,0.5307598175547892,18547,1869,11352,5326,0.10077101418019087,0.6120666415053647,0.2871623443144444,17149,3163,5585.0,2166.0,2359.0,2458.0,1418.0,0.18444224153011837,0.3256749664703481,0.1263047408012129,0.13755904134351857,0.143331972709779,0.08268703714502304,666.7,5.2,0.052000000000000005,"(42.0771855, -8.4819441)",42.0771855,-8.4819441
4,Paredes de Coura,4226,286,57,31,157,1596,1809,290,PS,0.4280643634642688,8866,1051,5343,2472,0.11854274757500564,0.6026392961876833,0.2788179562373111,8071,1690,2611.0,1049.0,1325.0,988.0,408.0,0.20939164911411226,0.32350390286209885,0.12997150291165901,0.16416800892082767,0.1224135794820964,0.0505513567092058,650.3,7.3,0.073,"(41.9130455, -8.5614589)",41.9130455,-8.5614589
5,Ponte da Barca,6313,336,48,28,155,3121,2328,297,PPD/PSD.CDS-PP,0.49437668303500715,11578,1354,7422,2802,0.11694593193988599,0.6410433580929349,0.24201070996717913,10522,1989,3503.0,1227.0,1747.0,1360.0,696.0,0.18903250332636382,0.3329214978141038,0.11661281125261357,0.16603307356015967,0.12925299372742824,0.06614712031933093,679.6,7.8,0.078,"(41.8056373, -8.4157905)",41.805637299999994,-8.4157905
6,Ponte de Lima,23462,1379,161,143,976,14289,5137,1377,PPD/PSD.CDS-PP,0.60902736339613,42610,5915,27936,8760,0.13881717906594696,0.6556207463036846,0.20558554329969492,36762,5406,10761.0,6088.0,7269.0,4642.0,2596.0,0.14705402317610577,0.2927207442467766,0.16560578858603994,0.19773135302758282,0.12627169359664872,0.0706163973668462,668.3,6.5,0.065,"(41.7647333, -8.5827407)",41.764733299999996,-8.582740699999999
7,Valença,6259,437,66,64,255,3155,1966,316,PPD/PSD.CDS-PP,0.5040741332481227,13609,1662,8747,3201,0.12212506429568667,0.6427364244250129,0.23521199206407525,12256,1454,4150.0,1762.0,2248.0,1806.0,836.0,0.11863577023498695,0.33860966057441255,0.143766318537859,0.18342036553524804,0.14735639686684074,0.06821148825065274,677.4,7.4,0.07400000000000001,"(42.02688939999999, -8.6421195)",42.026889399999995,-8.642119500000002
8,Viana do Castelo,45508,5264,375,551,3896,17921,14528,2973,PPD/PSD.CDS-PP,0.3937988925024172,86378,11101,57281,17997,0.12851652041028966,0.6631433929935864,0.20835166361805088,76229,7975,19882.0,10883.0,14608.0,12309.0,10572.0,0.10461897702973934,0.2608193732044235,0.1427671883403954,0.191633105511026,0.16147397971900457,0.1386873761954112,800.2,7.5,0.075,"(41.6918046, -8.834451)",41.691804600000005,-8.834451
9,Vila Nova de Cerveira,4526,386,44,35,152,1952,1711,246,PPD/PSD.CDS-PP,0.43128590366769776,9004,1142,5802,2061,0.12683251888049757,0.6443802754331408,0.2288982674366948,8023,1161,2344.0,1078.0,1543.0,1212.0,685.0,0.14470896173501185,0.2921600398853297,0.13436370434999376,0.19232207403714321,0.1510656861523121,0.0853795338402094,807.5,5.3,0.053,"(41.9428454, -8.7408025)",41.942845399999996,-8.7408025
