,Municipality,Total,BE,CDS-PP,PAN,PCP-PEV,PPD/PSD,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
0,Arcos de Valdevez,11574,297,1142,77.0,252.0,6500.0,3071.0,235.0,PPD/PSD,0.5616035942630033,22808,2597,13193,7018,0.1138635566467906,0.5784373903893371,0.30769905296387234,20268,5060,6972.0,1998.0,2801.0,2131.0,1306.0,0.249654627985001,0.34399052693901716,0.09857904085257549,0.13819814485889087,0.10514110913755674,0.06443655022695875,650.6,6.8,0.068,"(41.8458289, -8.419221300000002)",41.8458289,-8.4192213
1,Caminha,8934,542,915,107.0,553.0,3865.0,2679.0,273.0,PPD/PSD,0.4326169688829192,16686,2020,10890,3776,0.1210595708977586,0.6526429341963322,0.22629749490590914,14650,1641,4382.0,1813.0,2766.0,2418.0,1630.0,0.11201365187713311,0.29911262798634813,0.1237542662116041,0.18880546075085325,0.16505119453924916,0.11126279863481228,752.1,6.7,0.067,"(41.8772779, -8.8388267)",41.877277899999996,-8.838826699999998
2,Melgaço,4368,120,338,19.0,86.0,2093.0,1630.0,82.0,PPD/PSD,0.4791666666666667,9191,856,5040,3296,0.09313458818409313,0.5483625285605483,0.3586116853443586,8392,1892,3135.0,836.0,1047.0,964.0,518.0,0.22545281220209723,0.37357006673021925,0.0996186844613918,0.12476167778836987,0.11487130600571974,0.0617254528122021,655.2,3.3,0.033,"(42.1144544, -8.2579742)",42.1144544,-8.2579742
3,Monção,9513,386,1372,53.0,222.0,4595.0,2662.0,223.0,PPD/PSD,0.4830232313676022,19234,2044,11783,5408,0.10627014661536861,0.6126130810023916,0.2811687636477072,17149,3163,5585.0,2166.0,2359.0,2458.0,1418.0,0.18444224153011837,0.3256749664703481,0.1263047408012129,0.13755904134351857,0.143331972709779,0.08268703714502304,652.8,4.3,0.043,"(42.0771855, -8.4819441)",42.0771855,-8.4819441
4,Paredes de Coura,4461,219,388,41.0,221.0,2040.0,1376.0,176.0,PPD/PSD,0.45729657027572296,9190,1135,5596,2459,0.1235038084874864,0.6089227421109902,0.2675734494015234,8071,1690,2611.0,1049.0,1325.0,988.0,408.0,0.20939164911411226,0.32350390286209885,0.12997150291165901,0.16416800892082767,0.1224135794820964,0.0505513567092058,640.5,7.1,0.071,"(41.9130455, -8.5614589)",41.9130455,-8.5614589
5,Ponte da Barca,6716,162,524,28.0,182.0,3456.0,2270.0,94.0,PPD/PSD,0.5145920190589637,12051,1589,7609,2854,0.13185627748734544,0.6313998838270682,0.2368268193510912,10522,1989,3503.0,1227.0,1747.0,1360.0,696.0,0.18903250332636382,0.3329214978141038,0.11661281125261357,0.16603307356015967,0.12925299372742824,0.06614712031933093,681.6,7.6,0.076,"(41.8056373, -8.4157905)",41.805637299999994,-8.4157905
6,Ponte de Lima,24494,672,5822,115.0,865.0,11597.0,4937.0,486.0,PPD/PSD,0.47346288887074384,43518,6671,28357,8491,0.15329289029826737,0.6516154235029183,0.19511466519601084,36762,5406,10761.0,6088.0,7269.0,4642.0,2596.0,0.14705402317610577,0.2927207442467766,0.16560578858603994,0.19773135302758282,0.12627169359664872,0.0706163973668462,633.2,6.9,0.069,"(41.7647333, -8.5827407)",41.764733299999996,-8.582740699999999
7,Valença,6869,225,749,48.0,255.0,3681.0,1748.0,163.0,PPD/PSD,0.5358858640267871,14100,1846,9150,3105,0.13092198581560283,0.648936170212766,0.22021276595744682,12256,1454,4150.0,1762.0,2248.0,1806.0,836.0,0.11863577023498695,0.33860966057441255,0.143766318537859,0.18342036553524804,0.14735639686684074,0.06821148825065274,694.4,7.2,0.07200000000000001,"(42.02688939999999, -8.6421195)",42.026889399999995,-8.642119500000002
8,Viana do Castelo,47286,3066,6443,408.0,3841.0,18694.0,13323.0,1511.0,PPD/PSD,0.3953390009728038,88687,12443,59349,16896,0.14030241185292094,0.6691961617824483,0.19051270197435927,76229,7975,19882.0,10883.0,14608.0,12309.0,10572.0,0.10461897702973934,0.2608193732044235,0.1427671883403954,0.191633105511026,0.16147397971900457,0.1386873761954112,779.6,8,0.08,"(41.6918046, -8.834451)",41.691804600000005,-8.834451
9,Vila Nova de Cerveira,4943,236,436,30.0,168.0,2285.0,1623.0,165.0,PPD/PSD,0.46226987659316204,9265,1255,5997,2014,0.13545601726929304,0.6472746896923908,0.21737722611980573,8023,1161,2344.0,1078.0,1543.0,1212.0,685.0,0.14470896173501185,0.2921600398853297,0.13436370434999376,0.19232207403714321,0.1510656861523121,0.0853795338402094,761.1,5.4,0.054000000000000006,"(41.9428454, -8.7408025)",41.942845399999996,-8.7408025
10,Amares,10213,412,1500,47.0,311.0,4698.0,2932.0,313.0,PPD/PSD,0.4600019582884559,18866,3107,12783,2977,0.16468779815541185,0.6775681119474186,0.157797095303721,15750,1847,4714.0,2380.0,3007.0,2472.0,1330.0,0.11726984126984127,0.2993015873015873,0.1511111111111111,0.1909206349206349,0.15695238095238095,0.08444444444444445,707.9,8.8,0.08800000000000001,"(41.63165619999999, -8.3487113)",41.6316562,-8.3487113
11,Barcelos,68171,2635,7162,347.0,2279.0,33278.0,19911.0,2559.0,PPD/PSD,0.4881547872262399,120487,19603,84529,16355,0.16269805041207766,0.701561164274984,0.13574078531293832,100389,9333,30188.0,20688.0,20058.0,12949.0,7173.0,0.09296835310641605,0.30071023717738,0.2060783551982787,0.1998027672354541,0.12898823576288238,0.0714520515195888,672.2,6.6,0.066,"(41.5320504, -8.6190525)",41.532050399999996,-8.619052499999999
12,Braga,95625,5984,11221,755.0,7312.0,37139.0,29800.0,3414.0,PPD/PSD,0.3883816993464052,181829,29928,128654,23247,0.16459420664470464,0.7075549004834213,0.12785089287187412,151827,10441,33911.0,19775.0,30771.0,27717.0,29212.0,0.06876905952169245,0.2233528950713641,0.13024692577736502,0.20267146159773952,0.18255646228931613,0.19240319574252274,812.8,8.5,0.085,"(41.5454486, -8.426506999999999)",41.5454486,-8.426507
13,Esposende,18489,678,2831,158.0,786.0,9507.0,3900.0,629.0,PPD/PSD,0.5141976310238521,34330,5742,23795,4793,0.16725895718030878,0.693125546169531,0.1396154966501602,28599,2736,7707.0,5321.0,5449.0,4137.0,3249.0,0.09566768068813594,0.2694849470261198,0.18605545648449245,0.19053113745235847,0.14465540753173187,0.11360537081716143,672.3,6,0.06,"(41.5309169, -8.7805652)",41.5309169,-8.780565199999998
14,Terras de Bouro,4282,88,481,16.0,139.0,2216.0,1194.0,148.0,PPD/PSD,0.5175151798225128,7211,943,4514,1754,0.13077243100818195,0.6259880737761753,0.24323949521564278,6308,1019,2218.0,827.0,1121.0,810.0,313.0,0.16154090044388078,0.35161699429296134,0.13110336081166774,0.17771084337349397,0.12840837032339886,0.04961953075459734,709.9,9.4,0.094,"(41.7167409, -8.306244399999999)",41.7167409,-8.3062444
15,Vila Verde,24903,790,3536,128.0,645.0,12630.0,6255.0,919.0,PPD/PSD,0.5071678111070955,47985,7995,31888,8102,0.16661456705220382,0.6645410023965823,0.16884443055121393,39890,5661,12106.0,6404.0,7512.0,5379.0,2828.0,0.14191526698420656,0.30348458260215594,0.16054148909501129,0.1883178741539233,0.13484582602155928,0.07089496114314364,666.2,7.1,0.071,"(41.6514763, -8.4349104)",41.6514763,-8.434910400000001
16,Cabeceiras de Basto,9258,165,660,25.0,225.0,4049.0,3870.0,264.0,PPD/PSD,0.437351479801253,16699,2737,10818,3145,0.16390203006168033,0.6478232229474818,0.18833463081621654,13987,2282,4048.0,2399.0,2554.0,1722.0,982.0,0.16315149781940375,0.28941159648244796,0.17151640809322943,0.18259812683205834,0.12311432044040894,0.07020805033245156,628.2,12.3,0.12300000000000001,"(41.5116939, -7.9979753)",41.511693900000004,-7.997975299999999
17,Fafe,28662,984,2364,140.0,1217.0,11031.0,11939.0,987.0,PS,0.41654455376456634,50630,7780,34903,7948,0.15366383567055106,0.6893738889986174,0.15698202646652182,42815,4981,14080.0,7845.0,7224.0,5025.0,3660.0,0.11633773210323485,0.328856709097279,0.18323017634006775,0.16872591381525168,0.11736540931916384,0.08548405932500291,620.5,10.8,0.10800000000000001,"(41.4512581, -8.1708837)",41.451258100000004,-8.1708837
18,Guimarães,90169,4189,8810,487.0,6200.0,31331.0,35908.0,3244.0,PS,0.3982299903514512,158130,24544,112451,21135,0.155214064377411,0.7111300828432302,0.13365585277935876,133412,12043,41867.0,21501.0,27000.0,18532.0,12469.0,0.09026924114772285,0.31381734776481873,0.16116241417563637,0.20238059544868528,0.1389080442538902,0.09346235720924655,709.3,10.9,0.109,"(41.44253, -8.2917857)",41.44253,-8.2917857
19,Mondim de Basto,4063,79,736,16.0,101.0,1944.0,1098.0,89.0,PPD/PSD,0.4784641890228895,7494,1108,4810,1577,0.14785161462503335,0.6418468107819589,0.2104350146784094,6368,1246,2095.0,943.0,1019.0,703.0,362.0,0.19566582914572864,0.32898869346733667,0.14808417085427136,0.16001884422110552,0.11039572864321608,0.05684673366834171,607.6,9.1,0.091,"(41.4112348, -7.9526065)",41.4112348,-7.9526065
20,Póvoa de Lanhoso,12278,299,1308,60.0,341.0,5958.0,3979.0,333.0,PPD/PSD,0.48525818537221044,21922,3547,14714,3661,0.1618009305720281,0.6711978834047988,0.16700118602317307,18316,2692,5901.0,3109.0,3191.0,2202.0,1221.0,0.14697532212273423,0.3221773312950426,0.16974230181262284,0.17421926184756498,0.12022275606027517,0.0666630268617602,651.1,7.4,0.07400000000000001,"(41.5784784, -8.2689012)",41.5784784,-8.2689012
21,Vieira do Minho,7706,224,693,31.0,192.0,3689.0,2601.0,276.0,PPD/PSD,0.4787178821697379,12961,1772,8329,2860,0.136717845845228,0.6426201681968984,0.22066198595787362,11219,1804,3706.0,1863.0,1739.0,1406.0,701.0,0.1607986451555397,0.330332471699795,0.16605758088956235,0.15500490239771816,0.1253231125768785,0.06248328728050628,693.2,10.4,0.10400000000000001,"(41.63437620000001, -8.141662499999999)",41.634376200000005,-8.1416625
22,Vila Nova de Famalicão,74357,3173,7650,409.0,3218.0,30145.0,27675.0,2087.0,PPD/PSD,0.4054090401710666,134054,21353,94589,18112,0.15928655616393395,0.7056037119369806,0.13510973189908546,112215,9573,32200.0,20163.0,22038.0,16996.0,11245.0,0.08530945060820747,0.28694916009446153,0.17968186071380832,0.19639085683732121,0.15145925232812013,0.10020941941808136,762.3,9,0.09,"(41.41112589999999, -8.5237319)",41.411125899999995,-8.5237319
